ID,LineCode,Status,StationCode,StationNameEN
1,ARL,1,A1,Suvarnabhumi
2,ARL,0,A10,Don Muang
3,ARL,1,A2,Lat Krabang
4,ARL,1,A3,Ban Thap Chang
5,ARL,1,A4,Hua Mak
6,ARL,1,A5,Ramkhamhaeng
7,ARL,1,A6,Makkasan
8,ARL,1,A7,Ratchaprarop
9,ARL,1,A8,Phaya Thai
10,ARL,0,A9,Bang Sue
11,Blue,1,BL01,Tha Phra
12,Blue,1,BL02,Charan 13
13,Blue,1,BL03,Fai Chai
14,Blue,1,BL04,Bang Khun Non
15,Blue,1,BL05,Bang Yi Khan
16,Blue,1,BL06,Sirindhorn
17,Blue,1,BL07,Bang Phlat
18,Blue,1,BL08,Bang O
19,Blue,1,BL09,Bang Pho
20,Blue,1,BL10,Tao Poon
21,Blue,1,BL11,Bang Sue
22,Blue,1,BL12,Kamphaeng Phet
23,Blue,1,BL13,Chatuchak Park
24,Blue,1,BL14,Phahon Yothin
25,Blue,1,BL15,Lat Phrao
26,Blue,1,BL16,Ratchadaphisek
27,Blue,1,BL17,Sutthisan
28,Blue,1,BL18,Huai Khwang
29,Blue,1,BL19,Thailand Cultural Centre
30,Blue,1,BL20,Phra Ram 9
31,Blue,1,BL21,Phetchaburi
32,Blue,1,BL22,Sukhumvit
33,Blue,1,BL23,Queen Sirikit National 
34,Blue,1,BL24,Khlong Toei
35,Blue,1,BL25,Lumphini
36,Blue,1,BL26,Si Lom
37,Blue,1,BL27,Sam Yan
38,Blue,1,BL28,Hua Lamphong
39,Blue,1,BL29,Wat Mangkon
40,Blue,1,BL30,Sam Yot
41,Blue,1,BL31,Sanam Chai
42,Blue,1,BL32,Itsaraphap
43,Blue,1,BL33,Bang Phai
44,Blue,1,BL34,Bang Wa
45,Blue,1,BL35,Phetkasem 48
46,Blue,1,BL36,Phasi Charoen
47,Blue,1,BL37,Bang Khae
48,Blue,1,BL38,Lak Song
49,Blue,0,BL39,Phutthamonthon?2
50,Blue,0,BL40,Thawiwatthana
51,Blue,0,BL41,Phutthamonthon?3
52,Blue,0,BL42,Phutthamonthon?4
53,Brown,0,BR01,Nonthaburi Civic Center
54,Brown,0,BR02,Ngam Wong Wan 2
55,Brown,0,BR03,Ngam Wong Wan 18
56,Brown,0,BR04,Chinnakhet
57,Brown,0,BR05,Bang Khen
58,Brown,0,BR06,Ngam Wong Wan 48
59,Brown,0,BR07,Kasetsart University
60,Brown,0,BR08,Khong Bang Bua
61,Brown,0,BR09,Prasert Manukitch ? Lat Pla Khao
62,Brown,0,BR10,Sena Niwet
63,Brown,0,BR11,Satri Witthaya 2 School
64,Brown,0,BR12,Kaset Nawamin
65,Brown,0,BR13,Khlong Lamchiak
66,Brown,0,BR14,Nuanchan
67,Brown,0,BR15,Nawamin Junction
68,Brown,0,BR16,Phokaew
69,Brown,0,BR17,Inthrarak
70,Brown,0,BR18,Nawaminphirom Park
71,Brown,0,BR19,Nationnal Housing Authority
72,Brown,0,BR20,Yaek Lam Sali
73,Dark green,1,CEN,Siam
74,Light green,1,CEN,Siam
75,Light green,1,E1,Chit Lom
76,Light green,1,E10,Bang Chak
77,Light green,1,E11,Punnawithi
78,Light green,1,E12,Udom Suk
79,Light green,1,E13,Bang Na
80,Light green,1,E14,Bearing
81,Light green,1,E15,Samrong
82,Light green,1,E16,Pu Chao
83,Light green,1,E17,Chang Erawan
84,Light green,1,E18,Royal Thai Naval Academy
85,Light green,1,E19,Pak Nam
86,Light green,1,E2,Phloen Chit
87,Light green,1,E20,Srinagarindra
88,Light green,1,E21,Phraek Sa
89,Light green,1,E22,Sai Luat
90,Light green,1,E23,Kheha
91,Light green,0,E24,Sawang Khaniwat
92,Light green,0,E25,Ancient City
93,Light green,0,E26,Srichanpradit
94,Light green,0,E27,Bang Pu
95,Light green,0,E28,Tamru
96,Light green,1,E3,Nana
97,Light green,1,E4,Asok
98,Light green,1,E5,Phrom Phong
99,Light green,1,E6,Thong Lo
100,Light green,1,E7,Ekkamai
101,Light green,1,E8,Phra Khanong
102,Light green,1,E9,On Nut
103,Gold,1,G1,Krung Thon Buri
104,Gold,1,G2,Charoen Nakhorn
105,Gold,1,G3,Khlong San
106,Gold,0,G4,Memorial Bridge
107,Grey,0,GY01,Vatcharaphol
108,Grey,0,GY02,Yu Yen
109,Grey,0,GY03,Kaset Nawamin
110,Grey,0,GY04,Pradit Manutham 25
111,Grey,0,GY05,Yothin Phattana
112,Grey,0,GY06,Lat Phrao 87
113,Grey,0,GY07,Sangkhom Songkhro
114,Grey,0,GY08,Lat Phrao 83
115,Grey,0,GY09,Si Wara
116,Grey,0,GY10,Nawa Si
117,Grey,0,GY11,Wat Phraram Kao
118,Grey,0,GY12,Petchaburi-Thong Lo
119,Grey,0,GY13,Cham Chan
120,Grey,0,GY14,Thong Lo 10
121,Grey,0,GY15,Thong Lo
122,Grey,0,GY16,Phra Khanong
123,Grey,0,GY17,Ban Kluai Tai
124,Grey,0,GY18,Kluai Namthai
125,Grey,0,GY19,Kasem Rat Junction
126,Grey,0,GY20,Queen Sirikit National Covention Centre
127,Grey,0,GY21,Khlong Toei
128,Grey,0,GY22,Ngam Duphli
129,Grey,0,GY23,Lumpini
130,Grey,0,GY24,Suan Phlu
131,Grey,0,GY25,Chong Nonsi
132,Grey,0,GY26,Naradhiwas
133,Grey,0,GY27,Nang Linchi
134,Grey,0,GY28,Ratchada-Naradhiwas
135,Grey,0,GY29,Yannawa
136,Grey,0,GY30,Phra Ram 3
137,Grey,0,GY31,Khlong Phum
