ID,LineCode,Status,StatusCode,StationNameEN,StationNameTH
1,ARL,1,A1,Suvarnabhumi,สุวรรณภูมิ
2,ARL,0,A10,Don Muang,ดอนเมือง
3,ARL,1,A2,Lat Krabang,ลาดกระบัง
4,ARL,1,A3,Ban Thap Chang,บ้านทับช้าง
5,ARL,1,A4,Hua Mak,หัวหมาก
6,ARL,1,A5,Ramkhamhaeng,รามคำแหง
7,ARL,1,A6,Makkasan,มักกะสัน
8,ARL,1,A7,Ratchaprarop,ราชปรารภ
9,ARL,1,A8,Phaya Thai,พญาไท
10,ARL,0,A9,Bang Sue,บางซื่อ
11,Blue,1,BL01,Tha Phra,ท่าพระ
12,Blue,1,BL02,Charan 13,จรัญฯ 13
13,Blue,1,BL03,Fai Chai,ไฟฉาย
14,Blue,1,BL04,Bang Khun Non,บางขุนนนท์
15,Blue,1,BL05,Bang Yi Khan,บางยี่ขัน
16,Blue,1,BL06,Sirindhorn,สิรินธร
17,Blue,1,BL07,Bang Phlat,บางพลัด
18,Blue,1,BL08,Bang O,บางอ้อ
19,Blue,1,BL09,Bang Pho,บางโพ
20,Blue,1,BL10,Tao Poon,เตาปูน
21,Blue,1,BL11,Bang Sue,บางซื่อ
22,Blue,1,BL12,Kamphaeng Phet,กำแพงเพชร
23,Blue,1,BL13,Chatuchak Park,สวนจตุจักร
24,Blue,1,BL14,Phahon Yothin,พหลโยธิน 
25,Blue,1,BL15,Lat Phrao,ลาดพร้าว
26,Blue,1,BL16,Ratchadaphisek,รัชดาภิเษก
27,Blue,1,BL17,Sutthisan,สุทธิสาร
28,Blue,1,BL18,Huai Khwang,ห้วยขวาง
29,Blue,1,BL19,Thailand Cultural Centre,ศูนย์วัฒธรรมแห่งประเทศไทย
30,Blue,1,BL20,Phra Ram 9,พระราม 9
31,Blue,1,BL21,Phetchaburi,เพชรบุรี
32,Blue,1,BL22,Sukhumvit,สุขุมวิท
33,Blue,1,BL23,Queen Sirikit National ,ศูนย์การประชุมแห่งชาติสิริกิติ์
34,Blue,1,BL24,Khlong Toei,คลองเตย
35,Blue,1,BL25,Lumphini,ลุมพินี
36,Blue,1,BL26,Si Lom,สีลม
37,Blue,1,BL27,Sam Yan,สามย่าน
38,Blue,1,BL28,Hua Lamphong,หัวลำโพง
39,Blue,1,BL29,Wat Mangkon,วัดมังกร
40,Blue,1,BL30,Sam Yot,สามยอด
41,Blue,1,BL31,Sanam Chai,สนามไชย
42,Blue,1,BL32,Itsaraphap,อิสรภาพ
43,Blue,1,BL33,Bang Phai,บางไผ่
44,Blue,1,BL34,Bang Wa,บางหว้า
45,Blue,1,BL35,Phetkasem 48,เพชรเกษม 48
46,Blue,1,BL36,Phasi Charoen,ภาษีเจริญ
47,Blue,1,BL37,Bang Khae,บางแค
48,Blue,1,BL38,Lak Song,หลักสอง
49,Blue,0,BL39,Phutthamonthon 2,พุทธมณฑลสาย 2
50,Blue,0,BL40,Thawiwatthana,ทวีวัฒนา
51,Blue,0,BL41,Phutthamonthon 3,พุทธมณฑลสาย 3
52,Blue,0,BL42,Phutthamonthon 4,พุทธมณฑลสาย 4
53,Brown,0,BR01,Nonthaburi Civic Center,ศูนย์ราชการนนทบุรี
54,Brown,0,BR02,Ngam Wong Wan 2,งามวงศ์วาน 2 
